State,Rating_Area,County,COUNTY2,Zip,Market_Geographic_Rating_Divisions,FFM,State_Abb,FIPS
Alabama,Rating Area 1,Calhoun,CALHOUN,NULL,MSAs+1,1,AL,01015
Alabama,Rating Area 2,Lee,LEE,NULL,MSAs+1,1,AL,01081
Alabama,Rating Area 3,Bibb,BIBB,NULL,MSAs+1,1,AL,01007
Alabama,Rating Area 3,Blount,BLOUNT,NULL,MSAs+1,1,AL,01009
Alabama,Rating Area 3,Chilton,CHILTON,NULL,MSAs+1,1,AL,01021
Alabama,Rating Area 3,Jefferson,JEFFERSON,NULL,MSAs+1,1,AL,01073
Alabama,Rating Area 3,St. Clair,SAINT CLAIR,NULL,MSAs+1,1,AL,01115
Alabama,Rating Area 3,Shelby,SHELBY,NULL,MSAs+1,1,AL,01117
Alabama,Rating Area 3,Walker,WALKER,NULL,MSAs+1,1,AL,01127
Alabama,Rating Area 4,Russell,RUSSELL,NULL,MSAs+1,1,AL,01113
Alabama,Rating Area 5,Lawrence,LAWRENCE,NULL,MSAs+1,1,AL,01079
Alabama,Rating Area 5,Morgan,MORGAN,NULL,MSAs+1,1,AL,01103
Alabama,Rating Area 6,Geneva,GENEVA,NULL,MSAs+1,1,AL,01061
Alabama,Rating Area 6,Henry,HENRY,NULL,MSAs+1,1,AL,01067
Alabama,Rating Area 6,Houston,HOUSTON,NULL,MSAs+1,1,AL,01069
Alabama,Rating Area 7,Colbert,COLBERT,NULL,MSAs+1,1,AL,01033
Alabama,Rating Area 7,Lauderdale,LAUDERDALE,NULL,MSAs+1,1,AL,01077
Alabama,Rating Area 8,Etowah,ETOWAH,NULL,MSAs+1,1,AL,01055
Alabama,Rating Area 9,Limestone,LIMESTONE,NULL,MSAs+1,1,AL,01083
Alabama,Rating Area 9,Madison,MADISON,NULL,MSAs+1,1,AL,01089
Alabama,Rating Area 10,Mobile,MOBILE,NULL,MSAs+1,1,AL,01097
Alabama,Rating Area 11,Autauga,AUTAUGA,NULL,MSAs+1,1,AL,01001
Alabama,Rating Area 11,Elmore,ELMORE,NULL,MSAs+1,1,AL,01051
Alabama,Rating Area 11,Lowndes,LOWNDES,NULL,MSAs+1,1,AL,01085
Alabama,Rating Area 11,Montgomery,MONTGOMERY,NULL,MSAs+1,1,AL,01101
Alabama,Rating Area 12,Greene,GREENE,NULL,MSAs+1,1,AL,01063
Alabama,Rating Area 12,Hale,HALE,NULL,MSAs+1,1,AL,01065
Alabama,Rating Area 12,Tuscaloosa,TUSCALOOSA,NULL,MSAs+1,1,AL,01125
Alabama,Rating Area 13,Baldwin,BALDWIN,NULL,MSAs+1,1,AL,01003
Alabama,Rating Area 13,Barbour,BARBOUR,NULL,MSAs+1,1,AL,01005
Alabama,Rating Area 13,Bullock,BULLOCK,NULL,MSAs+1,1,AL,01011
Alabama,Rating Area 13,Butler,BUTLER,NULL,MSAs+1,1,AL,01013
Alabama,Rating Area 13,Chambers,CHAMBERS,NULL,MSAs+1,1,AL,01017
Alabama,Rating Area 13,Cherokee,CHEROKEE,NULL,MSAs+1,1,AL,01019
Alabama,Rating Area 13,Choctaw,CHOCTAW,NULL,MSAs+1,1,AL,01023
Alabama,Rating Area 13,Clarke,CLARKE,NULL,MSAs+1,1,AL,01025
Alabama,Rating Area 13,Clay,CLAY,NULL,MSAs+1,1,AL,01027
Alabama,Rating Area 13,Cleburne,CLEBURNE,NULL,MSAs+1,1,AL,01029
Alabama,Rating Area 13,Coffee,COFFEE,NULL,MSAs+1,1,AL,01031
Alabama,Rating Area 13,Conecuh,CONECUH,NULL,MSAs+1,1,AL,01035
Alabama,Rating Area 13,Coosa,COOSA,NULL,MSAs+1,1,AL,01037
Alabama,Rating Area 13,Covington,COVINGTON,NULL,MSAs+1,1,AL,01039
Alabama,Rating Area 13,Crenshaw,CRENSHAW,NULL,MSAs+1,1,AL,01041
Alabama,Rating Area 13,Cullman,CULLMAN,NULL,MSAs+1,1,AL,01043
Alabama,Rating Area 13,Dale,DALE,NULL,MSAs+1,1,AL,01045
Alabama,Rating Area 13,Dallas,DALLAS,NULL,MSAs+1,1,AL,01047
Alabama,Rating Area 13,DeKalb,DE KALB,NULL,MSAs+1,1,AL,01049
Alabama,Rating Area 13,Escambia,ESCAMBIA,NULL,MSAs+1,1,AL,01053
Alabama,Rating Area 13,Fayette,FAYETTE,NULL,MSAs+1,1,AL,01057
Alabama,Rating Area 13,Franklin,FRANKLIN,NULL,MSAs+1,1,AL,01059
Alabama,Rating Area 13,Jackson,JACKSON,NULL,MSAs+1,1,AL,01071
Alabama,Rating Area 13,Lamar,LAMAR,NULL,MSAs+1,1,AL,01075
Alabama,Rating Area 13,Macon,MACON,NULL,MSAs+1,1,AL,01087
Alabama,Rating Area 13,Marion,MARION,NULL,MSAs+1,1,AL,01093
Alabama,Rating Area 13,Marengo,MARENGO,NULL,MSAs+1,1,AL,01091
Alabama,Rating Area 13,Marshall,MARSHALL,NULL,MSAs+1,1,AL,01095
Alabama,Rating Area 13,Monroe,MONROE,NULL,MSAs+1,1,AL,01099
Alabama,Rating Area 13,Perry,PERRY,NULL,MSAs+1,1,AL,01105
Alabama,Rating Area 13,Pickens,PICKENS,NULL,MSAs+1,1,AL,01107
Alabama,Rating Area 13,Pike,PIKE,NULL,MSAs+1,1,AL,01109
Alabama,Rating Area 13,Randolph,RANDOLPH,NULL,MSAs+1,1,AL,01111
Alabama,Rating Area 13,Sumter,SUMTER,NULL,MSAs+1,1,AL,01119
Alabama,Rating Area 13,Talladega,TALLADEGA,NULL,MSAs+1,1,AL,01121
Alabama,Rating Area 13,Tallapoosa,TALLAPOOSA,NULL,MSAs+1,1,AL,01123
Alabama,Rating Area 13,Washington,WASHINGTON,NULL,MSAs+1,1,AL,01129
Alabama,Rating Area 13,Wilcox,WILCOX,NULL,MSAs+1,1,AL,01131
Alabama,Rating Area 13,Winston,WINSTON,NULL,MSAs+1,1,AL,01133
Alaska,Rating Area 1,NULL,NULL,995,3-Digit Zip Codes,1,AK,NULL
Alaska,Rating Area 2,NULL,NULL,996,3-Digit Zip Codes,1,AK,NULL
Alaska,Rating Area 2,NULL,NULL,997,3-Digit Zip Codes,1,AK,NULL
Alaska,Rating Area 3,NULL,NULL,998,3-Digit Zip Codes,1,AK,NULL
Alaska,Rating Area 3,NULL,NULL,999,3-Digit Zip Codes,1,AK,NULL
Arizona,Rating Area 1,Mohave,MOHAVE,NULL,Counties,1,AZ,04015
Arizona,Rating Area 1,Coconino,COCONINO,NULL,Counties,1,AZ,04005
Arizona,Rating Area 1,Apache,APACHE,NULL,Counties,1,AZ,04001
Arizona,Rating Area 1,Navajo,NAVAJO,NULL,Counties,1,AZ,04017
Arizona,Rating Area 2,Yavapai,YAVAPAI,NULL,Counties,1,AZ,04025
Arizona,Rating Area 3,La Paz,LA PAZ,NULL,Counties,1,AZ,04012
Arizona,Rating Area 3,Yuma,YUMA,NULL,Counties,1,AZ,04027
Arizona,Rating Area 4,Maricopa,MARICOPA,NULL,Counties,1,AZ,04013
Arizona,Rating Area 5,Pinal,PINAL,NULL,Counties,1,AZ,04021
Arizona,Rating Area 5,Gila,GILA,NULL,Counties,1,AZ,04007
Arizona,Rating Area 6,Pima,PIMA,NULL,Counties,1,AZ,04019
Arizona,Rating Area 6,Santa Cruz,SANTA CRUZ,NULL,Counties,1,AZ,04023
Arizona,Rating Area 7,Graham,GRAHAM,NULL,Counties,1,AZ,04009
Arizona,Rating Area 7,Greenlee,GREENLEE,NULL,Counties,1,AZ,04011
Arizona,Rating Area 7,Cochise,COCHISE,NULL,Counties,1,AZ,04003
Arkansas,Rating Area 1,Cleburne,CLEBURNE,NULL,Counties,0,AR,05023
Arkansas,Rating Area 1,Lonoke,LONOKE,NULL,Counties,0,AR,05085
