SRVC_CD,SRVC_TYPE_CD,SRVC_CD_EFCTV_STRT_DT,SRVC_CD_EFCTV_END_DT,CPT_HCPCSELGBL_RISKADJSTMT_IND
0518T,03,2019-01-01,9999-12-31,Y
0519T,03,2019-01-01,9999-12-31,Y
0520T,03,2019-01-01,9999-12-31,Y
0521T,03,2019-01-01,9999-12-31,Y
0522T,03,2019-01-01,9999-12-31,Y
0523T,03,2019-01-01,9999-12-31,N
0524T,03,2019-01-01,9999-12-31,Y
0525T,03,2019-01-01,9999-12-31,Y
0526T,03,2019-01-01,9999-12-31,Y
0527T,03,2019-01-01,9999-12-31,Y
0528T,03,2019-01-01,9999-12-31,Y
0529T,03,2019-01-01,9999-12-31,Y
0530T,03,2019-01-01,9999-12-31,Y
0531T,03,2019-01-01,9999-12-31,Y
0532T,03,2019-01-01,9999-12-31,Y
0533T,03,2019-01-01,9999-12-31,N
0534T,03,2019-01-01,9999-12-31,N
0535T,03,2019-01-01,9999-12-31,N
0536T,03,2019-01-01,9999-12-31,N
0537T,03,2019-01-01,9999-12-31,N
0538T,03,2019-01-01,9999-12-31,N
0539T,03,2019-01-01,9999-12-31,N
0540T,03,2019-01-01,9999-12-31,Y
0541T,03,2019-01-01,9999-12-31,N
0542T,03,2019-01-01,9999-12-31,N
90689,03,2019-01-01,9999-12-31,N
Q5108,03,2018-10-01,9999-12-31,N
C9030,03,2018-07-01,2018-12-31,N
C9031,03,2018-07-01,2018-12-31,N
C9032,03,2018-07-01,2018-12-31,N
Q5105,03,2018-07-01,9999-12-31,N
Q5106,03,2018-07-01,9999-12-31,N
15832,03,2014-01-01,9999-12-31,Y
15833,03,2014-01-01,9999-12-31,Y
15834,03,2014-01-01,9999-12-31,Y
15835,03,2014-01-01,9999-12-31,Y
15836,03,2014-01-01,9999-12-31,Y
15837,03,2014-01-01,9999-12-31,Y
15838,03,2014-01-01,9999-12-31,Y
15839,03,2014-01-01,9999-12-31,Y
15840,03,2014-01-01,9999-12-31,Y
15841,03,2014-01-01,9999-12-31,Y
15842,03,2014-01-01,9999-12-31,Y
15845,03,2014-01-01,9999-12-31,Y
15847,03,2014-01-01,9999-12-31,N
15850,03,2014-01-01,9999-12-31,N
15851,03,2014-01-01,9999-12-31,N
15852,03,2014-01-01,9999-12-31,Y
15860,03,2014-01-01,9999-12-31,Y
15876,03,2014-01-01,9999-12-31,Y
15877,03,2014-01-01,9999-12-31,Y
15878,03,2014-01-01,9999-12-31,Y
15879,03,2014-01-01,9999-12-31,Y
15920,03,2014-01-01,9999-12-31,Y
15922,03,2014-01-01,9999-12-31,Y
15931,03,2014-01-01,9999-12-31,Y
15933,03,2014-01-01,9999-12-31,Y
15934,03,2014-01-01,9999-12-31,Y
15935,03,2014-01-01,9999-12-31,Y
15936,03,2014-01-01,9999-12-31,Y
15937,03,2014-01-01,9999-12-31,Y
15940,03,2014-01-01,9999-12-31,Y
15941,03,2014-01-01,9999-12-31,Y
15944,03,2014-01-01,9999-12-31,Y
15945,03,2014-01-01,9999-12-31,Y
15946,03,2014-01-01,9999-12-31,Y
15950,03,2014-01-01,9999-12-31,Y
15951,03,2014-01-01,9999-12-31,Y
15952,03,2014-01-01,9999-12-31,Y
15953,03,2014-01-01,9999-12-31,Y
15956,03,2014-01-01,9999-12-31,Y
15958,03,2014-01-01,9999-12-31,Y
15999,03,2014-01-01,9999-12-31,Y
16000,03,2014-01-01,9999-12-31,Y
16020,03,2014-01-01,9999-12-31,Y
16025,03,2014-01-01,9999-12-31,Y
16030,03,2014-01-01,9999-12-31,Y
16035,03,2014-01-01,9999-12-31,Y
16036,03,2014-01-01,9999-12-31,N
17000,03,2014-01-01,9999-12-31,Y
17003,03,2014-01-01,9999-12-31,N
10021,03,2014-01-01,9999-12-31,Y
10022,03,2014-01-01,2018-12-31,N
10030,03,2014-01-01,9999-12-31,Y
10035,03,2016-01-01,9999-12-31,N
10036,03,2016-01-01,9999-12-31,N
10040,03,2014-01-01,9999-12-31,Y
10060,03,2014-01-01,9999-12-31,Y
10061,03,2014-01-01,9999-12-31,Y
10080,03,2014-01-01,9999-12-31,Y
10081,03,2014-01-01,9999-12-31,Y
10120,03,2014-01-01,9999-12-31,Y
10121,03,2014-01-01,9999-12-31,Y
10140,03,2014-01-01,9999-12-31,Y
10160,03,2014-01-01,9999-12-31,Y
10180,03,2014-01-01,9999-12-31,Y
11000,03,2014-01-01,9999-12-31,Y
11001,03,2014-01-01,9999-12-31,N
11004,03,2014-01-01,9999-12-31,Y
11005,03,2014-01-01,9999-12-31,Y
11006,03,2014-01-01,9999-12-31,Y
11008,03,2014-01-01,9999-12-31,N
11010,03,2014-01-01,9999-12-31,Y
11011,03,2014-01-01,9999-12-31,Y
11012,03,2014-01-01,9999-12-31,Y
11040,03,2014-01-01,2015-12-31,N
11041,03,2014-01-01,2015-12-31,N
11042,03,2014-01-01,9999-12-31,Y
11043,03,2014-01-01,9999-12-31,Y
11044,03,2014-01-01,9999-12-31,Y
11045,03,2014-01-01,9999-12-31,N
11046,03,2014-01-01,9999-12-31,N
11047,03,2014-01-01,9999-12-31,N
11055,03,2014-01-01,9999-12-31,Y
11056,03,2014-01-01,9999-12-31,Y
11057,03,2014-01-01,9999-12-31,Y
11100,03,2014-01-01,2018-12-31,N
11101,03,2014-01-01,2018-12-31,N
11200,03,2014-01-01,9999-12-31,Y
11201,03,2014-01-01,9999-12-31,N
11300,03,2014-01-01,9999-12-31,Y
11301,03,2014-01-01,9999-12-31,Y
11302,03,2014-01-01,9999-12-31,Y
11303,03,2014-01-01,9999-12-31,Y
11305,03,2014-01-01,9999-12-31,Y
11306,03,2014-01-01,9999-12-31,Y
