DGNS_CD,DGNS_CD_EFF_STRT_DT,DGNS_CD_EFF_END_DT,MIN_AGE_DGNS_INCLUDE,MAX_AGE_DGNS_EXCLUDE,CC_AGE_SPLIT_MIN_AGE_INC,CC_AGE_SPLIT_MAX_AGE_EXC,CC_SEX_SPLIT,CC_CD,ACC_CD
A0101,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A0102,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A0104,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A0105,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A021,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A0221,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A0223,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A0224,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A065,2015-10-01,2026-12-31,0,999,0,999,X,163,0
A066,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A072,2015-10-01,2026-12-31,0,999,0,999,X,6,0
A170,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A171,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A1781,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A1782,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A1783,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A1789,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A179,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A203,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A207,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A227,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A267,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A2781,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A310,2015-10-01,2026-12-31,0,999,0,999,X,6,0
A312,2015-10-01,2026-12-31,0,999,0,999,X,6,0
A3211,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A3212,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A327,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A3282,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A34,2015-10-01,2026-12-31,9,65,0,999,female,3,0
A35,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A3681,2015-10-01,2026-12-31,0,999,0,999,X,130,0
A381,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A390,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A391,2015-10-01,2026-12-31,0,999,0,999,X,30,0
A392,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A393,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A394,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A3950,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A3951,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A3952,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A3953,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A3981,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A3983,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A3984,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A400,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A401,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A403,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A408,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A409,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4101,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4102,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A411,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A412,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A413,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A414,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4150,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4151,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4152,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4153,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4159,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4181,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4189,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A419,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A427,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A4281,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A4282,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A480,2015-10-01,2026-12-31,0,999,0,999,X,153,0
A481,2015-10-01,2026-12-31,0,999,0,999,X,163,0
A483,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A5004,2015-10-01,2026-12-31,0,999,0,999,X,163,0
A5040,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5041,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5042,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5043,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5044,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5045,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5049,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5054,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A5055,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A5141,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5200,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A5201,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A5202,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A5203,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A5205,2015-10-01,2026-12-31,0,999,0,999,X,149,0
A5206,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A5209,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A5210,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5211,2015-10-01,2026-12-31,0,999,0,999,X,3,0
